               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 155,            0.016454,           0.0041806,                   0,             0.99368,             0.99713,             0.99298,             0.84062,            0.013174,           0.0037695,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.016589,           0.0041959,                   0,              0.9927,              0.9982,             0.99296,             0.84105,            0.013141,           0.0037623,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.016597,           0.0041118,                   0,             0.99282,             0.99833,             0.99296,             0.84178,            0.013093,           0.0037556,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.016468,           0.0041559,                   0,              0.9932,             0.99833,             0.99296,             0.84245,            0.013037,           0.0037405,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.016377,           0.0041397,                   0,             0.99435,             0.99815,             0.99302,             0.84225,            0.013047,           0.0037451,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.016253,           0.0041558,                   0,             0.99409,             0.99833,             0.99313,             0.84357,             0.01297,           0.0037295,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.016284,           0.0040684,                   0,             0.99402,             0.99866,             0.99318,             0.84295,            0.012933,           0.0037204,                   0,             0.00208,             0.00208,             0.00208
                 162,             0.01603,           0.0040579,                   0,             0.99365,             0.99867,              0.9932,             0.84313,            0.012904,           0.0037146,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.016416,           0.0041668,                   0,             0.99402,             0.99859,             0.99328,             0.84501,            0.012856,           0.0037131,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.015969,           0.0040615,                   0,              0.9942,             0.99833,             0.99336,             0.84721,            0.012804,            0.003698,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.016083,            0.004093,                   0,             0.99444,             0.99833,             0.99338,              0.8478,            0.012816,           0.0036985,                   0,            0.001882,            0.001882,            0.001882
